Equipo,Condicion,equipo_sede,resultado_partido,Nombre,Posicion,Minutos,Puntos,Essais,Offload,Franchissement,Tackles_Ok,Tarjetas_Amarillas,Tarjetas_Rojas,fecha,temporada
Stade Français Paris,Local,Stade Français Paris,Ganador,M. ALO EMILE,Pilier,51,0,0,0,0,9,0,0,2025-09-06 13:00:00,2025-2026
Stade Français Paris,Local,Stade Français Paris,Ganador,Paul ALO EMILE,Pilier,51,0,0,0,0,11,0,0,2025-09-06 13:00:00,2025-2026
Stade Français Paris,Local,Stade Français Paris,Ganador,P. AZAGOH KOUADIO,Centre,26,0,0,0,0,4,0,0,2025-09-06 13:00:00,2025-2026
Stade Français Paris,Local,Stade Français Paris,Ganador,Romain BRIATTE,Troisième ligne aile,55,0,0,0,0,11,1,0,2025-09-06 13:00:00,2025-2026
Stade Français Paris,Local,Stade Français Paris,Ganador,Louis CARBONEL,Demi d'ouverture,80,17,1,1,2,5,0,0,2025-09-06 13:00:00,2025-2026
Stade Français Paris,Local,Stade Français Paris,Ganador,Peniasi DAKUWAQA,Ailier,80,0,0,1,1,8,0,0,2025-09-06 13:00:00,2025-2026
Stade Français Paris,Local,Stade Français Paris,Ganador,Samuel EZEALA,Ailier,80,0,0,1,0,3,0,0,2025-09-06 13:00:00,2025-2026
Stade Français Paris,Local,Stade Français Paris,Ganador,P. GABRILLAGUES,2ème ligne,75,0,0,1,0,12,0,0,2025-09-06 13:00:00,2025-2026
Stade Français Paris,Local,Stade Français Paris,Ganador,Zack HENRY,Centre,28,0,0,0,0,1,0,0,2025-09-06 13:00:00,2025-2026
Stade Français Paris,Local,Stade Français Paris,Ganador,Mathieu HIRIGOYEN,Troisième ligne aile,80,0,0,0,0,11,0,0,2025-09-06 13:00:00,2025-2026
Stade Français Paris,Local,Stade Français Paris,Ganador,Joe JONAS,Arrière,14,5,1,0,1,1,0,0,2025-09-06 13:00:00,2025-2026
Stade Français Paris,Local,Stade Français Paris,Ganador,T. KERR BARLOW,Demi de mêlée,66,5,1,0,0,3,0,0,2025-09-06 13:00:00,2025-2026
Stade Français Paris,Local,Stade Français Paris,Ganador,Sekou MACALOU,Centre,19,0,0,0,0,1,0,0,2025-09-06 13:00:00,2025-2026
Stade Français Paris,Local,Stade Français Paris,Ganador,Joseph MARCHANT,Centre,80,0,0,0,0,5,0,0,2025-09-06 13:00:00,2025-2026
Stade Français Paris,Local,Stade Français Paris,Ganador,Giorgi MELIKIDZE,Centre,29,0,0,0,0,2,0,0,2025-09-06 13:00:00,2025-2026
