equipo,Points_Essais accordés,Domination_Possession de la balle,Domination_Occupation,Domination_Possession dans son camp,Domination_Possession dans le camp adverse,Domination_Possession 22m adverses,Actions_Mêlées obtenues,Actions_Mêlées perdues,Actions_Mêlées gagnées,Actions_Mêlées refaites,Actions_Touches obtenues,Actions_Touches gagnées sur son propre lancer,Actions_Touches gagnées sur lancer adverse,Fautes_En-avant commis,Fautes_Pénalités réussies,Fautes_Pénalités concédées,Plaquages et ballons joués_Plaquages réussis,Plaquages et ballons joués_Plaquages offensifs réussis,Plaquages et ballons joués_Plaquages manqués,Plaquages et ballons joués_Ballons joués au pied,Plaquages et ballons joués_Ballons passés,Resultado,Oponente,fecha
Stade Français Paris,7,42 %,51 %,68 %,48 %,52 %,10,2,6,2,13,11,0,6,0,16,132,15,15,24,97,47 ,US Montauban,2025-09-06 13:00:00
US Montauban,4,58 %,49 %,32 %,52 %,48 %,7,3,3,1,14,14,0,7,0,9,96,2,26,23,199, 24,Stade Français Paris,2025-09-06 13:00:00
USA Perpignan,3,58 %,53 %,56 %,47 %,54 %,4,1,3,0,17,16,0,8,0,11,88,4,23,26,159,19 ,Aviron Bayonnais,2025-09-06 15:00:00
Aviron Bayonnais,2,42 %,47 %,44 %,53 %,46 %,13,3,9,1,11,11,0,6,4,12,160,6,30,31,115, 26,USA Perpignan,2025-09-06 15:00:00
Castres Olympique,2,48 %,54 %,74 %,45 %,54 %,7,2,5,0,15,12,0,5,1,15,134,15,13,19,114,15 ,Section Paloise,2025-09-06 17:00:00
Section Paloise,1,52 %,46 %,26 %,55 %,46 %,8,1,6,1,15,12,1,6,4,13,101,5,13,29,87, 17,Castres Olympique,2025-09-06 17:00:00
LOU Rugby,4,56 %,53 %,66 %,47 %,52 %,10,2,7,1,18,16,1,7,2,8,85,10,14,27,114,32 ,Racing 92,2025-09-06 17:00:00
Racing 92,1,44 %,47 %,34 %,53 %,48 %,6,3,3,0,12,10,2,12,0,17,127,6,13,18,96, 7,LOU Rugby,2025-09-06 17:00:00
Montpellier Hérault Rugby,2,62 %,63 %,76 %,37 %,60 %,11,2,4,5,18,16,2,4,1,12,62,5,8,25,165,17 ,RC Toulon,2025-09-06 19:00:00
RC Toulon,3,38 %,37 %,24 %,63 %,40 %,4,0,4,0,14,11,1,5,2,13,170,12,18,31,66, 27,Montpellier Hérault Rugby,2025-09-06 19:00:00
Union Bordeaux-Bègles,2,42 %,40 %,42 %,61 %,41 %,4,1,3,0,22,15,3,10,3,6,129,3,31,39,104,23 ,Stade Rochelais,2025-09-06 21:05:00
Stade Rochelais,2,58 %,60 %,58 %,39 %,59 %,10,2,6,2,13,7,3,4,2,13,78,7,13,30,184, 18,Union Bordeaux-Bègles,2025-09-06 21:05:00
ASM Clermont,2,47 %,44 %,39 %,56 %,45 %,5,1,4,0,14,12,1,3,4,11,143,8,32,29,132,24 ,Stade Toulousain,2025-09-07 21:05:00
Stade Toulousain,4,53 %,56 %,61 %,44 %,55 %,3,1,2,0,17,13,1,6,2,9,133,9,15,28,166, 34,ASM Clermont,2025-09-07 21:05:00
US Montauban,2,63 %,64 %,89 %,37 %,68 %,6,1,4,1,18,13,3,10,1,7,58,9,19,28,198,18 ,LOU Rugby,2025-09-13 14:30:00
LOU Rugby,3,37 %,36 %,11 %,63 %,32 %,12,5,6,1,11,7,1,6,2,11,187,31,17,31,82, 25,US Montauban,2025-09-13 14:30:00
