equipo,puntos_trys_concedidos,posesion_pelota,ocupacion_sobre_terreno_rival,posesion_sobre_terreno_propio,posesion_sobre_terreno_rival,posesion_sobre22m_rival,scrum_obtenidos,scrum_perdidos,scrum_ganados,scrum_reiniciados,lineouts_obtenidos,lineouts_ganados,lineouts_ganados_rival,knock_on,penales_anotados,penales_cometidos,tackles_exitoso,tackle_defensivo_exitoso,tackle_fallido,free_kick,balones_pasados,Resultado,Oponente,fecha,temporada,equipo_sede,condicion,resultado_partido,Maison,Ville,Departement,temperatura,lluvia_1h,viento_velocidad,humedad,estacion_calidad
Biarritz Olympique PB,3,0.5,0.47,0.42,0.53,0.47,9,0,8,1,12,9,1,2,2,16,112,3,22,29,85,27 ,Union Bordeaux-Bègles,2021-09-04 14:00:00,2021-2022,Biarritz Olympique PB,Local,Ganador,Parc des sports d'Aguiléra,Biarritz,Pyrénées-Atlantiques,24.5,0.0,2.0,68.0,GER
Union Bordeaux-Bègles,2,0.5,0.53,0.58,0.47,0.53,6,1,5,0,16,14,1,7,1,12,96,4,15,20,123, 15,Biarritz Olympique PB,2021-09-04 14:00:00,2021-2022,Biarritz Olympique PB,Visitante,Perdedor,Parc des sports d'Aguiléra,Biarritz,Pyrénées-Atlantiques,24.5,0.0,2.0,68.0,GER
USA Perpignan,0,0.5,0.53,0.3,0.47,0.52,3,1,2,0,18,14,0,3,5,10,103,2,12,15,121, 15,CA Brive,2021-09-04 16:05:00,2021-2022,CA Brive,Visitante,Perdedor,Stade Amédée-Domenech,Brive-la-Gaillarde,Corrèze,26.0,0.0,1.3,57.0,BRIVE
Section Paloise,0,0.5,0.46,0.3,0.53,0.45,7,1,6,0,10,8,0,2,3,17,104,3,10,29,85, 12,Castres Olympique,2021-09-04 16:05:00,2021-2022,Castres Olympique,Visitante,Perdedor,Stade Pierre-Fabre,Castres,Tarn,25.7,0.0,2.4,50.0,MONTREDON-LABESSONNIE
CA Brive,3,0.5,0.47,0.7,0.53,0.48,5,2,2,1,10,8,3,1,4,13,131,5,4,17,83,36 ,USA Perpignan,2021-09-04 16:05:00,2021-2022,CA Brive,Local,Ganador,Stade Amédée-Domenech,Brive-la-Gaillarde,Corrèze,26.0,0.0,1.3,57.0,BRIVE
Castres Olympique,1,0.5,0.54,0.7,0.47,0.55,4,0,3,1,17,15,0,3,3,10,62,1,11,27,104,16 ,Section Paloise,2021-09-04 16:05:00,2021-2022,Castres Olympique,Local,Ganador,Stade Pierre-Fabre,Castres,Tarn,25.7,0.0,2.4,50.0,MONTREDON-LABESSONNIE
Stade Français Paris,2,0.5,0.5,0.6,0.49,0.52,10,0,9,1,16,10,1,2,3,8,48,4,17,23,104,21 ,Racing 92,2021-09-04 18:15:00,2021-2022,Stade Français Paris,Local,Perdedor,Stade Jean-Bouin,Paris,Paris,23.1,0.0,1.9,74.0,LONGCHAMP
Racing 92,3,0.5,0.5,0.4,0.51,0.48,4,0,4,0,12,10,3,0,5,15,77,3,12,26,103, 36,Stade Français Paris,2021-09-04 18:15:00,2021-2022,Stade Français Paris,Visitante,Ganador,Stade Jean-Bouin,Paris,Paris,23.1,0.0,1.9,74.0,LONGCHAMP
RC Toulon,0,0.5,0.49,0.43,0.51,0.49,8,2,5,1,12,9,1,4,8,8,134,4,22,25,87,24 ,Montpellier Hérault Rugby,2021-09-04 21:05:00,2021-2022,RC Toulon,Local,Empate,Stade Mayol,Toulon,Var,17.5,0.0,1.1,81.0,LE CASTELLET-AERO
Montpellier Hérault Rugby,2,0.5,0.51,0.57,0.49,0.51,8,0,8,0,11,8,3,2,4,14,99,0,13,25,108, 24,RC Toulon,2021-09-04 21:05:00,2021-2022,RC Toulon,Visitante,Empate,Stade Mayol,Toulon,Var,17.5,0.0,1.1,81.0,LE CASTELLET-AERO
